HIP;RAhms;DEdms;Vmag;RAICRS;DEICRS;Plx;pmRA;pmDE;e_Plx;B-V;Notes;_RA.icrs;_DE.icrs;recno
 ; ; ;mag;deg;deg;mas;mas/yr;mas/yr;mas;mag; ;deg;deg;
------;-----------;-----------;-----;------------;------------;-------;--------;--------;------;------;-;------------;------------;--------
     1;00 00 00.22;+01 05 20.4; 9.10;000.00091185;+01.08901332;   3.54;   -5.20;   -1.88;  1.39; 0.482; ;000.00089921;+01.08900875;       1
     2;00 00 00.91;-19 29 55.8; 9.27;000.00379737;-19.49883745;  21.90;  181.21;   -0.93;  3.10; 0.999; ;000.00426461;-19.49883971;       2
     3;00 00 01.20;+38 51 33.4; 6.61;000.00500795;+38.85928608;   2.81;    5.24;   -2.91;  0.63;-0.019; ;000.00502431;+38.85927901;       3
     4;00 00 02.01;-51 53 36.8; 8.06;000.00838170;-51.89354612;   7.75;   62.85;    0.16;  0.97; 0.370; ;000.00862924;-51.89354573;       4
     5;00 00 02.39;-40 35 28.4; 8.55;000.00996534;-40.59122440;   2.87;    2.53;    9.07;  1.11; 0.902; ;000.00997344;-40.59120235;       5
     6;00 00 04.35;+03 56 47.4;12.31;000.01814144;+03.94648893;  18.80;  226.29;  -12.84;  4.99; 1.336; ;000.01869276;+03.94645772;       6
     7;00 00 05.41;+20 02 11.8; 9.64;000.02254891;+20.03660216;  17.74; -208.12; -200.79;  1.30; 0.740; ;000.02201047;+20.03611413;       7
     8;00 00 06.55;+25 53 11.3; 9.05;000.02729160;+25.88647445;   5.17;   19.09;   -5.66;  1.95; 1.102;P;000.02734317;+25.88646069;       8
     9;00 00 08.48;+36 35 09.4; 8.59;000.03534189;+36.58593777;   4.81;   -6.30;    8.42;  0.99; 1.067; ;000.03532282;+36.58595824;       9
    10;00 00 08.70;-50 52 01.5; 8.59;000.03625309;-50.86707360;  10.76;   42.23;   40.02;  1.10; 0.489; ;000.03641572;-50.86697633;      10
    11;00 00 08.95;+46 56 24.0; 7.34;000.03729695;+46.94000154;   4.29;   11.09;   -2.02;  0.84; 0.081; ;000.03733643;+46.93999663;      11
    12;00 00 09.82;-35 57 36.8; 8.43;000.04091756;-35.96022482;   4.06;   -5.99;   -0.10;  1.16; 1.484; ;000.04089957;-35.96022506;      12
    13;00 00 10.00;-22 35 40.9; 8.80;000.04167970;-22.59468060;   3.49;    8.45;  -10.07;  1.48; 1.128; ;000.04170195;-22.59470508;      13
    14;00 00 11.59;-00 21 37.5; 7.25;000.04827189;-00.36042119;   5.11;   61.75;  -11.67;  0.99; 1.200; ;000.04842198;-00.36044955;      14
